Date,Close,High,Low,Open,Volume
2010-01-04,6.406481742858887,6.421150040568805,6.357687070989196,6.389119194607755,493729600
2010-01-05,6.417555332183838,6.453777218885293,6.383727934136187,6.424141275104453,601904800
2010-01-06,6.315476417541504,6.443001439806501,6.308890473783978,6.4175561476970735,552160000
2010-01-07,6.303802967071533,6.3463118544325425,6.258001906132925,6.338827825023713,477131200
2010-01-08,6.345710754394531,6.346309876241631,6.2583001159139355,6.295419291486841,447610800
2010-01-11,6.28973388671875,6.376246864415073,6.240040733209064,6.3702596411774906,462229600
2010-01-12,6.218185901641846,6.279554125989238,6.179270158820404,6.262190783014803,594459600
2010-01-13,6.305896759033203,6.314278869663153,6.109820438364607,6.222677172688797,605892000
2010-01-14,6.269375801086426,6.300209593570668,6.257102396119142,6.289732355137283,432894000
2010-01-15,6.164600849151611,6.334334962799101,6.162804682900012,6.314277772989572,594067600
2010-01-19,6.437313556671143,6.4418039731324805,6.203817895897137,6.236447056473079,730007600
2010-01-20,6.33822774887085,6.452580489152744,6.271471424055767,6.433421778847572,612152800
2010-01-21,6.228665351867676,6.385527421942165,6.202921088239462,6.3487071936852315,608154400
2010-01-22,5.919731140136719,6.2116014614229424,5.902069631974785,6.19004825838281,881767600
2010-01-25,6.078986167907715,6.127780423661184,5.992772178033503,6.062222347645535,1065699600
2010-01-26,6.164902210235596,6.397500619425717,6.064319265600282,6.165201571374649,1867110000
2010-01-27,6.222975730895996,6.303800822933116,5.973014429516342,6.192141939900389,1722568400
2010-01-28,5.965830326080322,6.151729561622486,5.948168821563473,6.134666779271022,1173502400
2010-01-29,5.749398708343506,6.052944117569523,5.695215539646516,6.019416468385246,1245952400
2010-02-01,5.829324722290039,5.8673427794678386,5.726646271611073,5.758677107286539,749876400
2010-02-02,5.863152980804443,5.876923593210651,5.788913416672095,5.864650186181864,698342400
2010-02-03,5.964034557342529,5.993072184619333,5.820045064412281,5.842496747430603,615328000
2010-02-04,5.749099254608154,5.938290687604771,5.734729920747182,5.889196262941924,757652000
2010-02-05,5.851179599761963,5.867345104223348,5.713177286902064,5.766462780023556,850306800
2010-02-08,5.811065196990967,5.923622584466886,5.8074728634091874,5.858064095323747,478270800
2010-02-09,5.873028755187988,5.912243844400776,5.829921573566683,5.879913658025237,632886800
2010-02-10,5.841001033782959,5.885306085577331,5.815256773504035,5.86405104363432,370361600
2010-02-11,5.947271823883057,5.979602429207001,5.809269527745575,5.833816742975708,550345600
2010-02-12,5.998461723327637,6.036180429432904,5.852376677378631,5.930507940298587,655468800
2010-02-16,6.088866233825684,6.0975473068271215,6.032587540996052,6.045160308648274,543737600
2010-02-17,6.063419818878174,6.116105765308318,6.01282820076918,6.112513432684178,436396800
2010-02-18,6.074796199798584,6.103534468019051,6.0146258129229535,6.035879653362987,422825200
